COP_c_ref_dh
6.427
6.436
6.33
6.239
5.269
5.255
5.178
5.174
4.021
3.988
4.02
3.984
6.862
6.786
6.796
5.687
5.608
5.67
4.444
4.422
4.434
7.355
7.077
6.912
6.888
6.95
6.96
6.765
5.801
5.658
5.917
5.98
5.882
5.814
5.719
4.695
4.749
4.751
4.804
4.682
4.778
3.626
3.611
3.61
3.513
3.135
3.103
3.093
7.788
7.818
7.585
7.55
7.525
7.34
6.667
6.578
6.489
6.425
6.36
6.281
5.503
5.453
5.252
5.31
5.268
5.121
4.196
4.059
4.006
3.89
3.496
3.356
5.7
5.71
5.736
5.708
5.177
5.095
5.057
5.06
5.141
4.354
4.343
4.412
4.366
5.995
6.01
5.914
5.419
5.369
5.358
4.741
4.679
4.693
5.349
5.6
5.439
5.417
4.326
4.422
4.43
4.437
4.406
4.405
4.426
3.479
3.442
3.409
3.432
3.46
3.469
5.794
5.84
5.769
5.137
4.932
4.93
4.974
4.92
3.809
3.806
3.771
3.778
3.778
6.642
6.489
6.595
6.463
5.269
5.366
5.417
5.456
4.264
4.102
4.166
4.104
2.877
7.14
7.124
7.108
5.823
5.863
5.869
4.449
4.492
4.493
5.716
5.455
4.992
4.785
4.705
4.611
3.757
3.697
3.599
3.597
6.01
6.052
5.3
5.388
5.11
4.095
4.046
4.023
3.939
5.653
5.567
5.804
5.553
4.734
4.797
4.822
4.731
3.774
3.743
3.593
3.663
6.062
5.993
5.999
5.316
5.183
5.106
4.161
4.172
4.011
6.409
6.544
6.524
5.497
5.471
5.548
4.422
4.468
4.42
3.234
3.256
3.207
7.196
7.055
6.153
5.977
4.864
4.886
3.702
3.591
5.898
5.908
6.091
6.102
4.603
4.581
4.658
4.553
3.243
3.197
3.106
3.064
6.569
6.574
6.531
4.955
4.972
4.848
3.403
3.369
3.338
6.728
6.631
6.633
6.229
5.539
5.607
5.491
5.487
4.476
4.387
4.402
4.381
7.064
7.007
7.015
5.951
5.94
5.951
4.786
4.752
4.847
