fluid_name,Tc_mix,Pc_mix,omega_mix,M_mix,n_components,epsilon_LLSL,T_liq_evap_in,T_liq_evap_out,superheat,DELTAT_dew_suction,T_liq_cond_in,T_liq_cond_out,subcool,DELTAT_dew_discharge
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.386,28.08,19.41,7.9,1.14,32.75,36.28,5.0,0.69
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.388,28.08,19.41,7.8,1.13,32.74,36.28,4.8,0.68
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.368,27.86,17.85,7.8,1.93,32.8,37.03,5.2,0.74
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.37,27.97,17.98,7.9,1.93,32.77,37.03,5.0,0.76
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.372,27.82,17.81,7.9,2.01,32.83,37.17,5.2,0.73
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.36,28.03,16.7,8.1,3.82,32.76,37.98,5.1,0.81
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.362,28.02,16.7,7.9,3.85,32.76,38.03,5.0,0.82
R515B,381.84182000000004,3.5718099999999997,0.31691600000000003,119.02311000000002,2,0.359,27.98,16.66,8.0,3.93,32.76,38.04,5.2,0.82
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.11,19.71,14.9,0.5,32.74,36.09,5.0,0.47
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,27.78,19.24,14.9,0.55,32.8,36.19,5.1,0.58
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.14,19.6,15.1,0.53,32.75,36.16,4.9,0.45
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,27.95,18.86,15.0,0.72,32.77,36.44,5.0,0.03
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.1,18.11,14.9,0.9,32.75,36.89,5.0,0.55
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.01,18.01,15.0,0.95,32.77,36.91,5.0,0.55
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.05,18.05,15.0,0.91,32.74,36.9,5.0,0.54
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,27.99,17.99,14.7,0.9,32.76,36.91,5.3,0.53
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.09,16.76,15.0,1.41,32.75,37.62,5.2,0.59
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.0,16.66,15.2,1.43,32.74,37.65,5.0,0.59
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,28.01,16.68,14.9,1.42,32.73,37.64,5.2,0.57
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.0,27.93,16.59,15.0,1.47,32.75,37.66,5.1,0.58
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.382,27.73,19.05,8.0,0.5,32.8,36.23,5.2,0.48
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.387,28.05,19.38,7.8,0.51,32.73,36.2,5.0,0.5
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.388,28.01,19.34,7.9,0.48,32.73,36.2,5.0,0.53
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.372,27.98,17.97,7.8,1.0,32.74,36.86,5.0,0.55
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.371,28.03,18.03,7.8,1.0,32.73,36.87,4.9,0.54
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.373,28.13,18.13,7.9,1.0,32.73,36.88,5.0,0.55
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.361,27.65,16.32,8.1,1.65,32.81,37.65,5.0,0.58
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.361,27.59,16.26,8.1,1.66,32.81,37.66,5.1,0.58
Tern1,373.47302,3.7580940000000003,0.30738200000000004,108.13108,3,0.365,28.11,16.78,8.0,1.59,32.72,37.59,5.0,0.58
